Metric,Value
cpu_percent,4.0
cpu_per_core,[9.1, 0.0, 10.0, 0.0, 0.0, 0.0, 10.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 11.1, 0.0, 0.0]
cpu_freq_current,577
cpu_freq_max,2150
cpu_freq_min,400
cpu_temp,36.0°C
cpu_cores_physical,10
cpu_cores_logical,16
load_avg,0.64, 1.08, 1.20
load_avg_1,0.63916015625
load_avg_5,1.0751953125
load_avg_15,1.2001953125
cpu_time_user,2.8
cpu_time_system,1.5
cpu_time_idle,94.9
ram_percent,43.1
ram_total,15.299148559570312
ram_used,4.29541015625
ram_available,8.698070526123047
ram_free,1.9335708618164062
ram_cached,9.066631317138672
ram_buffers,0.003536224365234375
ram_shared,1.3920021057128906
swap_percent,0.0
swap_total,7.649410247802734
swap_used,5.7220458984375e-05
swap_free,7.64935302734375
memory_pressure,LOW
mem_pages_in,N/A
mem_pages_out,N/A
disk_percent,100.0
disk_total,0.040843963623046875
disk_used,0.040843963623046875
disk_free,0.0
disk_partitions,9
partition_list,[{'device': '/dev/nvme0n1p3', 'mountpoint': '/etc', 'fstype': 'btrfs', 'total': 475.3525390625, 'used': 209.13951873779297, 'percent': 44.3}, {'device': '/dev/nvme0n1p3', 'mountpoint': '/sysroot', 'fstype': 'btrfs', 'total': 475.3525390625, 'used': 209.13951873779297, 'percent': 44.3}, {'device': '/dev/nvme0n1p3', 'mountpoint': '/sysroot/ostree/deploy/default/var', 'fstype': 'btrfs', 'total': 475.3525390625, 'used': 209.13951873779297, 'percent': 44.3}, {'device': '/dev/nvme0n1p3', 'mountpoint': '/var', 'fstype': 'btrfs', 'total': 475.3525390625, 'used': 209.13951873779297, 'percent': 44.3}, {'device': '/dev/nvme0n1p2', 'mountpoint': '/boot', 'fstype': 'ext4', 'total': 0.9506034851074219, 'used': 0.4655952453613281, 'percent': 52.6}, {'device': '/dev/nvme0n1p3', 'mountpoint': '/var/home', 'fstype': 'btrfs', 'total': 475.3525390625, 'used': 209.13951873779297, 'percent': 44.3}, {'device': '/dev/nvme0n1p1', 'mountpoint': '/boot/efi', 'fstype': 'vfat', 'total': 0.58477783203125, 'used': 0.01224517822265625, 'percent': 2.1}, {'device': '/dev/nvme0n1p3', 'mountpoint': '/usr/share/wireplumber', 'fstype': 'btrfs', 'total': 475.3525390625, 'used': 209.13951873779297, 'percent': 44.3}, {'device': '/dev/nvme0n1p3', 'mountpoint': '/usr/share/pipewire', 'fstype': 'btrfs', 'total': 475.3525390625, 'used': 209.13951873779297, 'percent': 44.3}]
disk_read_bytes,9879470080
disk_write_bytes,1812980736
disk_read_speed,0.0
disk_write_speed,0.0
disk_read_count,96633
disk_write_count,79620
disk_read_time,34912
disk_write_time,743719
open_files,378
fd_usage,4/1024
net_sent,3925002
net_recv,38930431
net_packets_sent,10634
net_packets_recv,35339
net_up_speed,236.0
net_down_speed,196.0
net_connections,35
net_connections_listen,13
net_connections_established,10
net_connections_time_wait,0
net_interfaces,['lo', 'wlan0', 'enp3s0']
net_interface_details,[{'name': 'lo', 'ip': '127.0.0.1', 'netmask': '255.0.0.0'}, {'name': 'wlan0', 'ip': '192.168.1.4', 'netmask': '255.255.255.0'}]
net_interface_stats,{'lo': snicstats(isup=True, duplex=<NicDuplex.NIC_DUPLEX_UNKNOWN: 0>, speed=0, mtu=65536, flags='up,loopback,running'), 'enp3s0': snicstats(isup=False, duplex=<NicDuplex.NIC_DUPLEX_UNKNOWN: 0>, speed=0, mtu=1500, flags='up,broadcast,multicast'), 'wlan0': snicstats(isup=True, duplex=<NicDuplex.NIC_DUPLEX_UNKNOWN: 0>, speed=0, mtu=1500, flags='up,broadcast,running,multicast')}
hostname,bazzite
ip_address,192.168.1.4
dns_servers,127.0.0.53
network_latency,24.4 ms
process_count,436
process_delta,-1
top_processes_cpu,[{'pid': 11537, 'memory_percent': 0.24141146667065613, 'name': 'python', 'cpu_percent': 19.7}, {'pid': 5975, 'memory_percent': 2.1237825950361295, 'name': 'Isolated Web Co', 'cpu_percent': 10.3}, {'pid': 3707, 'memory_percent': 1.8669120177131489, 'name': 'kwin_wayland', 'cpu_percent': 9.4}, {'pid': 3867, 'memory_percent': 3.139595769190491, 'name': 'plasmashell', 'cpu_percent': 7.7}, {'pid': 10693, 'memory_percent': 1.1322053169367023, 'name': 'ptyxis', 'cpu_percent': 4.3}]
top_processes_mem,[{'pid': 5466, 'memory_percent': 5.375506784554853, 'name': 'whatsie', 'cpu_percent': 0.0}, {'pid': 5091, 'memory_percent': 3.7094136010252883, 'name': 'firefox-bin', 'cpu_percent': 0.0}, {'pid': 3867, 'memory_percent': 3.139595769190491, 'name': 'plasmashell', 'cpu_percent': 0.0}, {'pid': 4921, 'memory_percent': 2.7870532441691727, 'name': 'steamwebhelper', 'cpu_percent': 0.0}, {'pid': 4829, 'memory_percent': 2.339013309795591, 'name': 'steamwebhelper', 'cpu_percent': 0.0}]
zombie_processes,[]
zombie_count,0
process_states,{'running': 1, 'sleeping': 286, 'stopped': 0, 'zombie': 0, 'other': 149}
total_threads,1386
uptime,0:20:31.538249
boot_time,2026-02-17 05:05:56
os_name,Linux
os_version,#1 SMP PREEMPT_DYNAMIC Mon Jan 19 05:47:43 UTC 2026
os_release,6.17.7-ba25.fc43.x86_64
os_architecture,x86_64
os_processor,
python_version,3.14.2
logged_users,['hafizhtux', 'hafizhtux']
logged_users_details,[{'name': 'hafizhtux', 'terminal': 'tty1', 'host': '', 'started': 1771279602.0}, {'name': 'hafizhtux', 'terminal': 'pts/0', 'host': 'localhost', 'started': 1771279607.0}]
battery_percent,79.57699933906147
battery_plugged,True
battery_time_left,-2
locale,en_US.UTF-8
timezone,('+07', '+07')
env_vars_count,80
home_total,475.3525390625
home_used,209.13951873779297
home_free,262.8286819458008
temp_total,7.649574279785156
temp_used,0.015171051025390625
temp_free,7.634403228759766
security_level,{'level': 'HIGH', 'score': 100, 'checks': ['✓ Not running as root', '✓ No zombie processes', '✓ Normal network connections', '✓ Normal user count', '✓ System check passed']}
recent_files,[]
resource_forecast,{'cpu_trend': 'stable', 'cpu_predicted': 4.12, 'ram_trend': 'stable', 'ram_predicted': 43.14}
health_score,80
